##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;Err:510;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, 'ｧ' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;ｧA = 0,64,0;;;;;;;;;;X
##;ｧB = 0,0,192;;;;;;;;;;X
##;ｧC = 128,0,0;;;;;;;;;;X
##;ｧD = 255,255,0;;;;;;;;;;X
##;ｧE = 255,0,255;;;;;;;;;;X
##;ｧF = 255,128,0;;;;;;;;;;X
##;ｧG = 0,100,0;;;;;;;;;;X
##;ｧH = 128,128, 128;;;;;;;;;;X
##;ｧI = 0,0,255;;;;;;;;;;X
##;ｧJ = 0,192,0;;;;;;;;;;X
##;ｧM = 100,255,100;;;;;;;;;;X
##;ｧN = 255,100,100;;;;;;;;;;X
##;ｧR = 240,0,0;;;;;;;;;;X
##;ｧW = 255,255,255;;;;;;;;;;X
##;ｧY = 208,232,248;;;;;;;;;;X
##;ｧZ = 0,0,0;;;;;;;;;;X
##;ｧｧ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;========================;========================;========================;========================;========================;========================;========================;========================;;========================;X
ALLIANCE_ENTENTE;協商国;T. Entente;;;;;;;;;X
NPERSONALITY_THEORETICAL_SCIENTIST;理論科学者;Theoretical Scientist;;;;;;;;;X
NPERSONALITY_MILITARY_ENTREPRENEUR;歴戦の勇士;Military Entrepreneur;;;;;;;;;X
NPERSONALITY_BATTLE_FLEET_PROPONENT;艦隊重視;Battle Fleet Proponent;;;;;;;;;X
NPERSONALITY_SUBMARINE_PROPONENT;潜水艦重視;Submarine Proponent;;;;;;;;;X
NPERSONALITY_TANK_PROPONENT;戦車重視;Tank Proponent;;;;;;;;;X
NPERSONALITY_INFANTRY_PROPONENT;歩兵重視;Infantry Proponent;;;;;;;;;X
NPERSONALITY_AIR_TO_GROUND_PROPONENT;空対地戦闘重視;Air-to-Ground Proponent;;;;;;;;;X
NPERSONALITY_AIR_TO_SEA_PROPONENT;空対海戦闘重視;Air-to-Sea Proponent;;;;;;;;;X
NPERSONALITY_STRATEGIC_AIR_PROPONENT;戦略爆撃重視;Strategic Air Proponent;;;;;;;;;X
NPERSONALITY_SILENT_LAWYER;物静かな法律家;Silent Lawyer;;;;;;;;;X
NPERSONALITY_COMPASSIONATE_GENTLEMAN;情け深い紳士;Compassionate Gentleman;;;;;;;;;X
NPERSONALITY_CRIME_FIGHTER;治安重視;Crime Fighter;;;;;;;;;X
NPERSONALITY_PRINCE_OF_TERROR;恐怖政治の推進者;Prince of Terror;;;;;;;;;X
NPERSONALITY_BACK_STABBER;裏工作の名人;Back Stabber;;;;;;;;;X
NPERSONALITY_MAN_OF_THE_PEOPLE;庶民の味方;Man of the People;;;;;;;;;X
NPERSONALITY_EFFICIENT_SOCIOPATH;反社会的効率主義者;Efficient Sociopath;;;;;;;;;X
NPERSONALITY_TECHNICAL_SPECIALIST;技術分析の専門家;Technical Specialist;;;;;;;;;X
NPERSONALITY_LOGISTICS_SPECIALIST;兵站分析の専門家;Logistics Specialist;;;;;;;;;X
NPERSONALITY_POLITICAL_SPECIALIST;政治分析の専門家;Political Specialist;;;;;;;;;X
NPERSONALITY_DISMAL_ENIGMA;不気味な謎の人物;Dismal Enigma;;;;;;;;;X
NPERSONALITY_INDUSTRIAL_SPECIALIST;産業分析の専門家;Industrial Specialist;;;;;;;;;X
NPERSONALITY_NAVAL_INTELLIGENCE_SPECIALIST;海軍情報の専門家;Naval Intelligence Specialist;;;;;;;;;X
NPERSONALITY_SCHOOL_OF_MANOEUVRE;機動論者;School of Maneuver;;;;;;;;;X
NPERSONALITY_SCHOOL_OF_FIRE_SUPPORT;火力支援論者;School of Fire Support;;;;;;;;;X
NPERSONALITY_SCHOOL_OF_MASS_COMBAT;人海戦術論者;School of Mass Combat;;;;;;;;;X
NPERSONALITY_SCHOOL_OF_PSYCHOLOGY;精神論者;School of Psychology;;;;;;;;;X
NPERSONALITY_SCHOOL_OF_DEFENCE;防衛論者;School of Defense;;;;;;;;;X
NPERSONALITY_ELASTIC_DEFENCE_DOCTRINE;弾力的防御ドクトリン;Elastic Defense Doctrine;;;;;;;;;X
NPERSONALITY_STATIC_DEFENCE_DOCTRINE;静的防御ドクトリン;Trenches War Expert;;;;;;;;;X
NPERSONALITY_DECISIVE_BATTLE_DOCTRINE;決戦ドクトリン;Decisive Battle Doctrine;;;;;;;;;X
NPERSONALITY_ARMOURED_SPEARHEAD_DOCTRINE;機甲突撃ドクトリン;Armored Spearhead Doctrine;;;;;;;;;X
NPERSONALITY_GUNS_AND_BUTTER_DOCTRINE;軍備優先ドクトリン;Guns and Butter Doctrine;;;;;;;;;X
NPERSONALITY_OPEN_SEAS_DOCTRINE;外海ドクトリン;Open Seas Doctrine;;;;;;;;;X
NPERSONALITY_DECISIVE_BATTLE_DOCTRINE2;決戦ドクトリン;Decisive Battle Doctrine;;;;;;;;;X
NPERSONALITY_POWER_PROJECTION_DOCTRINE;戦力投入ドクトリン;Power Projection Doctrine;;;;;;;;;X
NPERSONALITY_INDIRECT_APPROACH_DOCTRINE;間接接近ドクトリン;Indirect Approach Doctrine;;;;;;;;;X
NPERSONALITY_BASE_CONTROL_DOCTRINE;基地支配ドクトリン;Base Control Doctrine;;;;;;;;;X
NPERSONALITY_AIR_SUPERIORITY_DOCTRINE;制空権ドクトリン;Air Superiority Doctrine;;;;;;;;;X
NPERSONALITY_NAVAL_AVIATION_DOCTRINE;海軍支援ドクトリン;Naval Aviation Doctrine;;;;;;;;;X
NPERSONALITY_ARMY_AVIATION_DOCTRINE;陸軍支援ドクトリン;Army Aviation Doctrine;;;;;;;;;X
NPERSONALITY_CARPET_BOMBING_DOCTRINE;絨毯爆撃ドクトリン;Carpet Bombing Doctrine;;;;;;;;;X
NPERSONALITY_VERTICAL_ENVELOPMENT_DOCTRINE;立体集中攻撃ドクトリン;Vertical Envelopment Doctrine;;;;;;;;;X
NPERSONALITY_UNDISTINGUISHED_SUIT;平凡な政治家;Undistinguished Suit;;;;;;;;;X
NPERSONALITY_AIR_SUPERIORITY_PROPONENT;制空権重視;Air Superiority Proponent;;;;;;;;;X
NPERSONALITY_CORRUPT_KLEPTOCRAT;泥棒政治家;Corrupt Kleptocrat;;;;;;;;;X
NPERSONALITY_CROOKED_KLEPTOCRAT;ならず者政治家;Crooked Kleptocrat;;;;;;;;;X
NPERSONALITY_POWER_HUNGRY_DEMAGOGUE;権力に餓えた扇動家;Power-Hungry Demagogue;;;;;;;;;X
NPERSONALITY_BARKING_BUFFOON;口先だけの道化者;Barking Buffoon;;;;;;;;;X
NPERSONALITY_STERN_IMPERIALIST;厳格な帝国主義者;Stern Imperialist;;;;;;;;;X
NPERSONALITY_RUTHLESS_POWERMONGER;権力の亡者;Ruthless Powermonger;;;;;;;;;X
NPERSONALITY_AUTOCRATIC_CHARMER;ワンマン政治家;Autocratic Charmer;;;;;;;;;X
NPERSONALITY_RESIGNED_GENERALISSIMO;引退した大元帥;Resigned Generalissimo;;;;;;;;;X
NPERSONALITY_BENEVOLENT_GENTLEMAN;高潔な紳士;Benevolent Gentleman;;;;;;;;;X
NPERSONALITY_WEARY_STIFF_NECK;臆病な頑固者;Weary Stiff-Neck;;;;;;;;;X
NPERSONALITY_INSIGNIFICANT_LAYMAN;無能な凡人;Insignificant Layman;;;;;;;;;X
NPERSONALITY_DIE_HARD_REFORMER;不屈の改革者;Die-Hard Reformer;;;;;;;;;X
NPERSONALITY_PIG_HEADED_ISOLATIONIST;強硬な孤立主義者;Pig-Headed Isolationist;;;;;;;;;X
NPERSONALITY_POPULAR_FIGUREHEAD;形のみの指導者;Popular Figurehead;;;;;;;;;X
NPERSONALITY_SILENT_WORKHORSE;寡黙な勤勉家;Silent Workhorse;;;;;;;;;X
NPERSONALITY_NAIVE_OPTIMIST;ナイーブな楽天家;Naive Optimist;;;;;;;;;X
NPERSONALITY_FLAMBOYANT_TOUGH_GUY;派手好きなタフガイ;Flamboyant Tough Guy;;;;;;;;;X
NPERSONALITY_HAPPY_AMATEUR;幸運な素人;Happy Amateur;;;;;;;;;X
NPERSONALITY_BACKROOM_BACKSTABBER;裏工作の達人;Backroom Backstabber;;;;;;;;;X
NPERSONALITY_SMILING_OILMAN;にこやかな石油王;Smiling Oilman;;;;;;;;;X
NPERSONALITY_OLD_GENERAL;元陸軍大将;Old General;;;;;;;;;X
NPERSONALITY_OLD_ADMIRAL;元海軍大将;Old Admiral;;;;;;;;;X
NPERSONALITY_OLD_AIR_MARSHAL;元空軍大将;Old Air Marshal;;;;;;;;;X
NPERSONALITY_POLITICAL_PROTEGE;権力者の腰ぎんちゃく;Political Protege;;;;;;;;;X
NPERSONALITY_AMBITIOUS_UNION_BOSS;野心に燃える元労働組合代表;Ambitious Union Boss;;;;;;;;;X
NPERSONALITY_CORPORATE_SUIT;元ビジネスマン;Corporate Suit;;;;;;;;;X
NPERSONALITY_OIL_BARON;石油王;Oil Baron;;;;;;;;;X
NPERSONALITY_STEEL_MAGNATE;鉄鋼王;Steel Magnate;;;;;;;;;X
NPERSONALITY_INDUSTRIAL_CHEMIST;工業化学者;Industrial Chemist;;;;;;;;;X
NPERSONALITY_MEDIA_MAGNATE;メディア王;Media Magnate;;;;;;;;;X
NPERSONALITY_FOCH;反撃の天才;Counterattack Genius;;;;;;;;;X
NPERSONALITY_HINDENBURG;人気ある軍事指導者;Popular Military Leader;;;;;;;;;X
NPERSONALITY_CADORNA;頑固な規律家;Stubborn Disciplinarian;;;;;;;;;X
NPERSONALITY_BRUSILOV;革新的な攻撃司令官;Innovative Offensive General;;;;;;;;;X
NPERSONALITY_WILHELM_II;情け深い傀儡皇帝;Benevolent Puppet Kaiser;;;;;;;;;X
NPERSONALITY_NICHOLAS_II;専制君主;Despotic Autocrat;;;;;;;;;X
NPERSONALITY_CLEMENCEAU;猛虎;The Tiger;;;;;;;;;X
NPERSONALITY_FRANZ_JOSEPH_I;疲れ果てた老帝;Weary Old Emperor;;;;;;;;;X
NPERSONALITY_WILSON;民主主義の理想家;Democratic idealist;;;;;;;;;X
#####ラインマイヤー氏追加特性
NPERSONALITY_SCIENTIST_PRIME;元大学教授;;;;;;;;;;X
NPERSONALITY_INDUSTRIAL_PRIME;経済政策の提唱者;;;;;;;;;;X
NPERSONALITY_FORMER_AGENT;警察組織出身者;;;;;;;;;;X
NPERSONALITY_FORMER_BANKER;元銀行員;;;;;;;;;X
NPERSONALITY_ECONOMIST_MINISTER;経済学者;;;;;;;;;;X
NPERSONALITY_BUILDER_BRIDGES;橋を架ける人物;;;;;;;;;;X
NPERSONALITY_BUSINESS_PERSON;元実業家;;;;;;;;;;X
NPERSONALITY_AIR_QUARTERMASTER;補給・輸送機重視の司令官;;;;;;;;;;X
NPERSONALITY_ACTING_HEAD;国家元首代行;;;;;;;;;;X
NPERSONALITY_POPULAR_GENTLEMAN;尊敬を集める老紳士;;;;;;;;;;X
NPERSONALITY_IDEOLOGICAL_PRIME;イデオロギーの信奉者;;;;;;;;;;X
NPERSONALITY_PARTY_COORDINATING;党の調整役;;;;;;;;;;X
NPERSONALITY_NEGATIVE_PRIME;消極的指導者;;;;;;;;;;X
NPERSONALITY_NOT_RULE_WITHOUT_THE_REIGNING;国家の象徴;;;;;;;;;X
NPERSONALITY_BUSINESS_PERSON;元実業家;;;;;;;;;;X
NPERSONALITY_JUDICIARY_SPECIALIST;司法の専門家;;;;;;;;;;x
NPERSONALITY_MAN_OF_THE_WORKERS;労働者の味方;;;;;;;;;X
NPERSONALITY_ARTIST;芸術家;;;;;;;;;X
NPERSONALITY_DIPLOMATIC_PERSON;外交家;;;;;;;;;X
NPERSONALITY_IREALIST_LEADER;人気の高い理想主義者;;;;;;;;;X
NPERSONALITY_CORRUPT_KLEPTOCRAT;泥棒政治家;;;;;;;;;X
NPERSONALITY_ECONOMIC_BUREAUCRACY;元経済官僚;;;;;;;;;X
NPERSONALITY_EXCELLENT_LEADER;優れた統率者;;;;;;;;;X
NPERSONALITY_NAVAL_AVIATION;航空主兵論;;;;;;;;;X
#####
#####ラインマイヤー氏追加特性説明
DPERSONALITY_SCIENTIST_PRIME;「元大学教授」はその知識の豊富さから教育大臣に抜擢された人物です。首相に就任した今でも教育に力を入れていく姿勢は変わっていません。ですがその姿勢や考え方から対立を生むこともあります。;;;;;;;;;;X
DPERSONALITY_INDUSTRIAL_PRIME;「経済発展を図る現実主義者」は自国の経済発展に力を注ぎます。多くは銀行総裁などの財界出身の人物や、財務相など経済に関わる省庁の大臣を務めてきた人物です。彼は社会や経済への洞察力に優れている人物ですが、その現実主義な考えと冷徹さから人々には理解されにくい人物です。;;;;;;;;;;X
DPERSONALITY_FORMER_AGENT;「警察組織出身者」はその名の通り警察組織に属していた人物です。ですがここで言う警察とは秩序警察や人民警察のような準軍事組織的な一面も持つものを指します。そのため軍人や諜報員といった経歴を持つ人物も少なくありません。;;;;;;;;;;X
DPERSONALITY_FORMER_BANKER;「元銀行員」は金融に精通した人物です。その能力を買われて入閣を果たしました。財務に関してはその能力を発揮しますが、軍事には疎い面があります。;;;;;;;;;;X
DPERSONALITY_ECONOMIST_MINISTER;「経済学者」は大学で経済学の教鞭を執っていた人物です。その知識を買われて入閣を果たしました。政治学や社会学にも精通した彼は、技術研究と国民生活に力を注ぎます。;;;;;;;;;;X
DPERSONALITY_BUILDER_BRIDGES;「橋を架ける人物」は外交の場においてその真価を発揮する人物です。彼の外交政策は国外からも高い支持を集め、関係の改善を促します。ですが一方で内政面を疎かにしがちです。経済政策や閣僚人事で失敗をして支持を失うこととなり、その座から引き摺り下ろされる可能性もある人物です。;;;;;;;;;;X
DPERSONALITY_BUSINESS_PERSON;「元実業家」は政界に入る前は企業を動かしていた人物です。その知識を買われて入閣を果たしました。物流や金銭の流れに精通した彼は、政治の舞台でも今までと同じようにその手腕を発揮しようとするでしょう。しかし軍需産業に関しては少々知識が浅く、細かいことを無視しがちです。;;;;;;;;;;X
DPERSONALITY_AIR_QUARTERMASTER;「補給・輸送機重視の司令官」は空軍で補給や輸送の一切を司る人物です。彼は戦争遂行のためには、軍需品と輸送機の確保が重要であると考えています。輸送機の確保と生産性の向上を目指しますが、その為に陸海軍の担当官と衝突することもあるでしょう。;;;;;;;;;;X
DPERSONALITY_ACTING_HEAD;「国家元首代行」は大統領や議長といった人物が辞任したり、死去したときにその職を代行します。選挙などによって国家元首が選出されるまでの臨時に過ぎないため、大きな力を持っていません。;;;;;;;;;;X
DPERSONALITY_POPULAR_GENTLEMAN;「尊敬を集める老紳士」は経験豊富で老練な政治家です。彼の勤勉な姿勢は民衆の人気と尊敬を集めます。しかし、その人気の高さは時として、政府首班との対立を起こす原因になることもあります。;;;;;;;;;;X
DPERSONALITY_IDEOLOGICAL_PRIME;「イデオロギーの信奉者」は自身の所属する集団の思想の信奉者です。君主制主義者ならば皇帝や王、公などを崇拝しており、忠誠を誓っているでしょう。右派活動家ならば自由主義、共産主義などの危険と見做した思想の排除に力を注ぐでしょう。共産主義者ならば反革命勢力を押さえ込み、プロレタリアート独裁を進めていくでしょう。民主主義者なら反民主主義を掲げる反対勢力を押さえ込むでしょう。;;;;;;;;;;X
DPERSONALITY_PARTY_COORDINATING;「党の調整役」は長年、政治の舞台で活躍してきた政治家です。その経験を生かして内閣や政党の調整役となります。時には反対勢力を押さえ込む大胆な行動を起こすこともあります。彼の影響力は大きく、排除するのは容易でないでしょう。;;;;;;;;;;X
DPERSONALITY_NEGATIVE_PRIME;「消極的指導者」は前任者の辞任や死去によって指導者に選ばれた人物です。選挙などで選ばれたわけではない彼は、積極的に行動しようという姿勢が見られません。改革にも消極的であり、状況が悪化しても解決策をなかなか打ち出せず、時が解決してくれるのを待つ姿勢をとります。;;;;;;;;;;X
DPERSONALITY_NOT_RULE_WITHOUT_THE_REIGNING;「国家の象徴」は国民の多くが国の象徴として尊敬し、奉じる偉大な指導者です。彼は自身の存在が大きな社会的影響力を有することを理解しており、常に泰然自若たる態度を崩さず、国家をよりよい方向へ導こうと考えています。しかし、立憲君主制にこだわりすぎるところがあり、自分の意を貫けず傀儡のような立場になることもあります。;;;;;;;;;;x
DPERSONALITY_BUSINESS_PERSON;「元実業家」は政界に入る前は企業を動かしていた人物です。その知識を買われて入閣を果たしました。物流や金銭の流れに精通した彼は、政治の舞台でも今までと同じようにその手腕を発揮しようとするでしょう。しかし軍需産業に関しては少々知識が浅く、細かいことを無視しがちです。;;;;;;;;;;X
DPERSONALITY_JUDICIARY_SPECIALIST;「司法の専門家」は指揮下の諜報・警察機関を使い、敵のスパイ網を攻撃します。彼は優秀な法律家であると共に、諜報網の番人でもあるのです。;;;;;;;;;;X
DPERSONALITY_MAN_OF_THE_WORKERS;「労働者の味方」は労働者階級出身の政治家です。彼は自身の支持基盤である労働者の保護に努め、それに配慮した政策を打ち出します。その為、資本家や貴族などの上流階級からの評判はあまりよろしくありません。;;;;;;;;;;X
DPERSONALITY_ARTIST;「芸術家」は美術や音楽、文筆などに関わってきた文化人です。その知名度から国家元首に就任しましたが、彼が芸術以外の分野に疎いのは揺るぎのない事実です。;;;;;;;;;;X
DPERSONALITY_DIPLOMATIC_PERSON;「外交家」は多数の言語を操る交渉の達人です。外交官として各国を飛び回り、その外交手腕を買われて就任を果たしました。外交政策には絶対の自信を持っていますが、その反面、内政は疎かになりがちです。;;;;;;;;;;X
